feature_class,feature,bucket,n_questions,share_of_cohort,answer_rate,acceptance_rate,acceptance_given_answered,answer_lift,acceptance_lift
known_at_post_time,posting_day_utc,e. Friday,170876,0.1518,0.6046,0.2973,0.4917,0.998,1.0
known_at_post_time,posting_day_utc,f. Saturday,101193,0.0899,0.6357,0.3186,0.5013,1.049,1.072
known_at_post_time,posting_day_utc,g. Sunday,103927,0.0923,0.6304,0.3149,0.4995,1.04,1.06
known_at_post_time,asker_account_age_at_post,a. same day as signup,149083,0.1336,0.5539,0.2085,0.3764,0.914,0.702
known_at_post_time,asker_account_age_at_post,b. under a month,87916,0.0788,0.6298,0.2919,0.4635,1.039,0.982
known_at_post_time,asker_account_age_at_post,c. under a year,217553,0.195,0.6253,0.3039,0.4859,1.032,1.023
known_at_post_time,asker_account_age_at_post,d. 1-3 years,219189,0.1964,0.6142,0.3146,0.5122,1.014,1.059
known_at_post_time,asker_account_age_at_post,e. over 3 years,442136,0.3962,0.6019,0.3133,0.5204,0.994,1.054
known_at_post_time,asker_prior_questions,a. none,292596,0.2622,0.5561,0.2176,0.3913,0.918,0.732
known_at_post_time,asker_prior_questions,b. 1-4,324828,0.2911,0.6024,0.2813,0.467,0.994,0.947
known_at_post_time,asker_prior_questions,c. 5-19,254777,0.2283,0.6239,0.3319,0.5321,1.03,1.117
known_at_post_time,asker_prior_questions,d. 20-99,170688,0.153,0.639,0.3654,0.5719,1.055,1.23
known_at_post_time,asker_prior_questions,e. 100 or more,72991,0.0654,0.662,0.388,0.5862,1.093,1.306
known_at_post_time,asker_prior_answers_written,a. none,607215,0.5442,0.5878,0.2563,0.4361,0.97,0.862
known_at_post_time,asker_prior_answers_written,b. 1-4,238903,0.2141,0.6138,0.3264,0.5317,1.013,1.098
known_at_post_time,asker_prior_answers_written,c. 5-19,144898,0.1299,0.6248,0.3467,0.5549,1.031,1.167
known_at_post_time,asker_prior_answers_written,d. 20-99,90516,0.0811,0.6372,0.3635,0.5704,1.052,1.223
known_at_post_time,asker_prior_answers_written,e. 100 or more,34348,0.0308,0.6692,0.3955,0.5909,1.105,1.331
known_at_post_time,asker_prior_acceptance_rate,a. never accepted before,38256,0.0343,0.5543,0.1546,0.2789,0.915,0.52
known_at_post_time,asker_prior_acceptance_rate,b. under a third,99887,0.0895,0.5698,0.2312,0.4057,0.94,0.778
known_at_post_time,asker_prior_acceptance_rate,c. a third to two thirds,235200,0.2108,0.6223,0.3431,0.5513,1.027,1.154
known_at_post_time,asker_prior_acceptance_rate,d. most of the time,113686,0.1019,0.6946,0.4776,0.6876,1.147,1.607
known_at_post_time,asker_prior_acceptance_rate,e. always,17468,0.0157,0.7026,0.4836,0.6883,1.16,1.627
known_at_post_time,asker_prior_acceptance_rate,f. fewer than 3 settled prior questions,611383,0.5479,0.5872,0.2582,0.4397,0.969,0.869
known_at_post_time,asker_prior_answer_rate,a. never answered before,1199,0.0011,0.5338,0.2168,0.4063,0.881,0.73
known_at_post_time,asker_prior_answer_rate,b. under a third,9720,0.0087,0.5312,0.2366,0.4455,0.877,0.796
known_at_post_time,asker_prior_answer_rate,c. a third to two thirds,70886,0.0635,0.5611,0.2684,0.4784,0.926,0.903
known_at_post_time,asker_prior_answer_rate,d. most of the time,335767,0.3009,0.6339,0.3547,0.5595,1.046,1.194
known_at_post_time,asker_prior_answer_rate,e. always,86925,0.0779,0.6592,0.3656,0.5546,1.088,1.23
known_at_post_time,asker_prior_answer_rate,f. fewer than 3 settled prior questions,611383,0.5479,0.5872,0.2582,0.4397,0.969,0.869
post_hoc,asker_account_later_deleted,no,1115880,0.9912,0.6047,0.296,0.4895,0.998,0.996
post_hoc,asker_account_later_deleted,yes,9883,0.0088,0.742,0.4271,0.5756,1.225,1.437
post_hoc,question_score,a. negative,81317,0.0722,0.9848,0.3983,0.4045,1.625,1.34
post_hoc,question_score,b. zero,762412,0.6772,0.5225,0.2362,0.4521,0.862,0.795
post_hoc,question_score,c. 1-2,256111,0.2275,0.7161,0.4277,0.5972,1.182,1.439
post_hoc,question_score,d. 3 or more,25923,0.023,0.78,0.4827,0.6188,1.287,1.624
post_hoc,question_view_count,a. under 50,465232,0.4133,0.4905,0.2301,0.4691,0.81,0.774
post_hoc,question_view_count,b. 50-199,475143,0.4221,0.6667,0.3385,0.5077,1.1,1.139
post_hoc,question_view_count,c. 200-999,164597,0.1462,0.7245,0.3517,0.4855,1.196,1.184
post_hoc,question_view_count,d. 1000 or more,20791,0.0185,0.8586,0.4226,0.4922,1.417,1.422
post_hoc,question_comment_count,a. none,507112,0.4505,0.6206,0.3135,0.5051,1.024,1.055
post_hoc,question_comment_count,b. 1-2,341804,0.3036,0.5891,0.2743,0.4656,0.972,0.923
post_hoc,question_comment_count,c. 3-5,194211,0.1725,0.5946,0.2894,0.4867,0.981,0.974
post_hoc,question_comment_count,d. 6 or more,82636,0.0734,0.6114,0.3102,0.5074,1.009,1.044
